Y	Ind1	Ind2	revenue
505	1	0	2539
207	1	0	11119
520	1	0	12887
1167	1	0	14672
1252	1	0	13269
210	1	0	8491
535	1	0	11863
237	1	0	13319
149	1	0	13405
1058	1	0	3432
1008	1	0	13249
627	1	0	10333
1988	0	1	29393
1533	0	1	12000
1322	0	1	13208
1255	0	1	13849
2372	0	1	15005
2318	0	1	20650
2899	0	1	27256
1162	0	1	15573
2005	0	1	27179
1144	0	1	17248
1383	0	1	24108
1720	0	1	18248
2704	0	1	15346
1437	1	0	2155
710	1	0	10233
671	1	0	2496
1064	1	0	11761
121	1	0	2803
177	1	0	1342
373	1	0	11242
1080	1	0	3996
1079	1	0	12492
362	1	0	13793
774	1	0	13656
118	1	0	1195
2820	0	1	17501
2670	0	1	24873
2679	0	1	29738
1119	0	1	24579
2430	0	1	15181
1791	0	1	10411
2172	0	1	12294
1203	0	1	13522
2847	0	1	25774
1425	0	1	29505
1613	0	1	28621
1615	0	1	15560
1281	0	1	27953
