syn-tf_x,Accident,Cargo,Cat,Commercial Property,Contingency,Engineering,Environmental,Financial Lines,General Aviation,Global PE BBR,Global PE E&O,Healthcare,Hull,Life,Management Liability - D&O,Management Liability - EPL,Marine Libs,Market Facilities,Other Treaty,Political,Professions - A&E,Professions - Lawyers,Small Business Unit,Split Airlines / GA,Split GoM / Non GoM,Stand Alone Terrorism,TMB Cyber,TMB E&O,TMB Large Risk Cyber,Treaty (Specialty),US E&S Property,War
Accident,0,2,31,5,13,2,0,7,1,0,3,1,2,27,0,1,1,0,18,1,0,0,8,0,3,13,2,1,0,1,0,1
Cargo,2,0,1,55,3,9,4,13,3,0,2,1,22,3,0,7,21,0,0,30,0,1,20,7,11,83,9,12,4,0,0,603
Cat,31,1,0,4,3,2,0,4,1,0,0,0,1,2,0,2,0,0,234,1,0,0,2,1,3,9,2,2,0,6,0,1
Commercial Property,5,55,4,0,12,30,5,12,4,1,5,2,10,4,0,16,13,0,1,12,0,0,26,8,12,309,26,5,1,2,0,30
Contingency,13,3,3,12,0,11,3,3,1,3,15,3,1,2,1,3,2,0,0,16,0,4,16,1,5,27,6,9,1,2,0,2
Engineering,2,9,2,30,11,0,3,3,1,1,3,1,0,1,0,3,3,0,1,10,0,1,11,0,11,40,4,1,1,1,1,0
Environmental,0,4,0,5,3,3,0,1,0,4,9,6,2,0,1,4,1,0,0,5,2,5,2,0,0,9,4,7,0,2,0,3
Financial Lines,7,13,4,12,3,3,1,0,0,4,5,3,6,1,0,5,7,0,3,17,1,1,4,0,6,27,18,8,1,1,0,4
General Aviation,1,3,1,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,1,0,0,0,2
Global PE BBR,0,0,0,1,3,1,4,4,0,0,117,5,0,1,1,13,2,0,0,3,1,3,3,0,0,3,25,9,1,4,0,0
Global PE E&O,3,2,0,5,15,3,9,5,1,117,0,7,1,2,1,25,5,0,0,4,2,8,11,0,0,11,28,21,0,4,0,0
Healthcare,1,1,0,2,3,1,6,3,0,5,7,0,0,0,1,5,1,0,0,3,1,3,1,0,1,6,25,8,0,2,0,0
Hull,2,22,1,10,1,0,2,6,0,0,1,0,0,1,0,0,178,0,0,14,0,0,2,1,10,13,5,0,0,0,0,209
Life,27,3,2,4,2,1,0,1,0,1,2,0,1,0,0,0,4,0,2,2,0,0,2,2,1,5,1,0,0,0,0,2
Management Liability - D&O,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0
Management Liability - EPL,1,7,2,16,3,3,4,5,0,13,25,5,0,0,1,0,0,0,1,7,0,8,3,0,1,32,27,28,1,3,0,4
Marine Libs,1,21,0,13,2,3,1,7,0,2,5,1,178,4,0,0,0,0,0,13,0,0,5,2,12,22,6,3,0,0,0,137
Market Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Treaty,18,0,234,1,0,1,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,0,3,3,2,0,0,1,0,1
Political,1,30,1,12,16,10,5,17,2,3,4,3,14,2,1,7,13,0,0,0,0,2,8,2,7,50,12,10,3,2,0,15
Professions - A&E,0,0,0,0,0,0,2,1,0,1,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0
Professions - Lawyers,0,1,0,0,4,1,5,1,0,3,8,3,0,0,1,8,0,0,1,2,2,0,1,0,0,4,4,4,0,2,0,1
Small Business Unit,8,20,2,26,16,11,2,4,0,3,11,1,2,2,0,3,5,0,1,8,0,1,0,0,5,27,6,3,0,0,0,3
Split Airlines / GA,0,7,1,8,1,0,0,0,2,0,0,0,1,2,0,0,2,0,0,2,0,0,0,0,2,6,1,3,0,0,0,20
Split GoM / Non GoM,3,11,3,12,5,11,0,6,0,0,0,1,10,1,0,1,12,0,3,7,0,0,5,2,0,29,1,0,1,0,0,102
Stand Alone Terrorism,13,83,9,309,27,40,9,27,2,3,11,6,13,5,1,32,22,0,3,50,0,4,27,6,29,0,54,31,8,2,0,37
TMB Cyber,2,9,2,26,6,4,4,18,0,25,28,25,5,1,1,27,6,0,2,12,1,4,6,1,1,54,0,39,7,7,0,7
TMB E&O,1,12,2,5,9,1,7,8,1,9,21,8,0,0,1,28,3,0,0,10,1,4,3,3,0,31,39,0,2,3,0,6
TMB Large Risk Cyber,0,4,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,8,7,2,0,0,0,2
Treaty (Specialty),1,0,6,2,2,1,2,1,0,4,4,2,0,0,1,3,0,0,1,2,0,2,0,0,0,2,7,3,0,0,0,0
US E&S Property,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
War,1,603,1,30,2,0,3,4,2,0,0,0,209,2,0,4,137,0,1,15,0,1,3,20,102,37,7,6,2,0,0,0
